FID,t_nr,vejnavn,beskrivelse,husnummer,type,taelling_type,ktj_7_19,tung_pct,aadt_koretojer,hvdt_koretojer,cykler_7_19,ladcykler_pct,aadt_cykler,hvdt_cykler,fod_7_19,aadt_fod_7_19,hvdt_fod_7_19,fod_7_21,aadt_fod_7_21,hvdt_fod_7_21,fod_7_24,aadt_fod_7_24,hvdt_fod_7_24,aadt_fod_label,taelle_dato,aar,link,tung_pct_real,ladcykler_pct_real,lastbiler_7_19,lastbiler_pct,elloebehjul_7_19,elloebehjul_pct,wkb_geometry
trafiktaelling.485,4006,Ny Kongensgade,nordøst for Vester Voldgade,15,100,Øvrige tællinger,1361,"4,2",1600,1800,6037,,6200,7400,,,,,,,,,,,20150916,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/KAfWzFD13R.pdf,4.19999981,,38,,,,POINT (12.575937031588637 55.67360355234275)
trafiktaelling.486,6516,Søren Kierkegaards Plads,,,100,Øvrige tællinger,,,,,200,,200,200,500,600,600,,,,,,,600,20110623,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/kNVhrBRWGT.pdf,,,,,,,POINT (12.58129590109446 55.672750908847576)
trafiktaelling.487,6521,Christianshavns Torv,,,100,Øvrige tællinger,,,,,,,,,7990,9300,9700,,,,,,,9300,20150617,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/7Yc91ekX79.pdf,,,,,,,POINT (12.592552577668794 55.67194645862848)
trafiktaelling.488,6558,Frederikssundsvej ved Husum Torv,FOD,322B,100,Øvrige tællinger,,,,,,,,,3666,4300,4400,,,,,,,4300,20140604,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/4VuPBAwK5T.pdf,,,,,,,POINT (12.472004691185417 55.712104358997216)
trafiktaelling.489,6578,Islands Brygge Havnebad,,,100,Øvrige tællinger,,,,,,,,,88,100,100,,,,,,,100,20110830,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/5ZAjxJV4xb.pdf,,,,,,,POINT (12.577990387840034 55.66854206987569)
trafiktaelling.490,6609,Skuespilhuset,FOD,,100,Øvrige tællinger,,,,,663,,700,800,5463,6400,6600,,,,,,,6400,20160818,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/p5yfgkbGlA.pdf,,,,,,,POINT (12.594302061895329 55.67934678389388)
trafiktaelling.491,6620,Kildevældsparken,Bylivsundersøgelse,-,100,Øvrige tællinger,,,,,,,,,700,800,800,,,,,,,800,20130813,2013,http://kk.sites.itera.dk/apps/kk_trafik/pdf/aEVxU6ro99.pdf,,,,,,,POINT (12.567097740162117 55.714729428230335)
trafiktaelling.492,6621,Bellmannsgade,fodgængertælling,2,100,Øvrige tællinger,,,,,,,,,918,1100,1100,,,,,,,1100,20130813,2013,http://kk.sites.itera.dk/apps/kk_trafik/pdf/aEVxU6ro99.pdf,,,,,,,POINT (12.568647898231202 55.714392696841635)
trafiktaelling.493,6622,Vognmandsmarken,fodgængertælling 7-21,,100,Øvrige tællinger,,,,,,,,,540,600,700,,,,,,,600,20130813,2013,http://kk.sites.itera.dk/apps/kk_trafik/pdf/aEVxU6ro99.pdf,,,,,,,POINT (12.567425110197235 55.71401412001758)
trafiktaelling.494,6623,Kildevældsgade,fodgængertælling 7-21,80,100,Øvrige tællinger,,,,,,,,,516,600,600,,,,,,,600,20130813,2013,http://kk.sites.itera.dk/apps/kk_trafik/pdf/aEVxU6ro99.pdf,,,,,,,POINT (12.569163270160688 55.714039391647084)
trafiktaelling.495,6624,Vennemendevej,fodgængertælling 7-21,70,100,Øvrige tællinger,,,,,,,,,936,1100,1100,,,,,,,1100,20130813,2013,http://kk.sites.itera.dk/apps/kk_trafik/pdf/aEVxU6ro99.pdf,,,,,,,POINT (12.56876988371083 55.71357836541988)
trafiktaelling.496,6625,Bryggevangen (Ved Kirken),fodgængertælling 7-21,70,100,Øvrige tællinger,,,,,,,,,558,700,700,,,,,,,700,20130813,2013,http://kk.sites.itera.dk/apps/kk_trafik/pdf/aEVxU6ro99.pdf,,,,,,,POINT (12.567570257883833 55.713566593571684)
